DEBUG : 2021-07-02 18:25:26,773 I2s loop starts...
DEBUG : 2021-07-02 18:25:26,777 I2s objects created...
INFO : 2021-07-02 19:04:18,420 (60.34, 2518.0)
INFO : 2021-07-02 19:04:20,484 (60.37, 2512.0)
INFO : 2021-07-02 19:04:22,549 (60.93, 2514.0)
INFO : 2021-07-02 19:04:24,619 (60.43, 2512.0)
INFO : 2021-07-02 19:04:26,721 (60.68, 2513.0)
INFO : 2021-07-02 19:04:28,798 (60.49, 2514.0)
INFO : 2021-07-02 19:04:30,868 (60.27, 2513.0)
INFO : 2021-07-02 19:04:32,966 (60.81, 2521.0)
INFO : 2021-07-02 19:04:35,030 (60.24, 2511.0)
INFO : 2021-07-02 19:04:37,108 (60.57, 2513.0)
INFO : 2021-07-02 19:04:39,173 (60.43, 2515.0)
INFO : 2021-07-02 19:04:41,247 (60.41, 2516.0)
INFO : 2021-07-02 19:04:43,359 (60.36, 2511.0)
INFO : 2021-07-02 19:04:45,433 (60.53, 2517.0)
INFO : 2021-07-02 19:04:47,503 (60.56, 2517.0)
INFO : 2021-07-02 19:04:49,573 (61.22, 2525.0)
INFO : 2021-07-02 19:04:51,637 (60.42, 2515.0)
INFO : 2021-07-02 19:04:53,702 (60.26, 2507.0)
INFO : 2021-07-02 19:04:55,766 (60.69, 2514.0)
INFO : 2021-07-02 19:04:57,862 (60.42, 2513.0)
INFO : 2021-07-02 19:04:59,950 (59.78, 2504.0)
INFO : 2021-07-02 19:05:02,022 (60.28, 2518.0)
INFO : 2021-07-02 19:05:04,090 (61.28, 2530.0)
INFO : 2021-07-02 19:05:06,159 (61.05, 2526.0)
INFO : 2021-07-02 19:05:08,223 (60.43, 2514.0)
INFO : 2021-07-02 19:05:10,287 (61.21, 2517.0)
INFO : 2021-07-02 19:05:12,378 (60.57, 2519.0)
INFO : 2021-07-02 19:05:14,459 (60.49, 2520.0)
INFO : 2021-07-02 19:05:16,531 (60.94, 2522.0)
INFO : 2021-07-02 19:05:18,600 (61.06, 2521.0)
INFO : 2021-07-02 19:05:20,664 (60.81, 2520.0)
INFO : 2021-07-02 19:05:22,736 (60.6, 2516.0)
INFO : 2021-07-02 19:05:24,800 (60.32, 2514.0)
INFO : 2021-07-02 19:05:26,875 (60.7, 2521.0)
INFO : 2021-07-02 19:05:28,986 (60.67, 2525.0)
INFO : 2021-07-02 19:05:31,059 (60.99, 2522.0)
INFO : 2021-07-02 19:05:33,129 (61.11, 2522.0)
INFO : 2021-07-02 19:05:35,194 (60.83, 2520.0)
INFO : 2021-07-02 19:05:37,259 (60.8, 2523.0)
INFO : 2021-07-02 19:05:39,323 (61.2, 2527.0)
INFO : 2021-07-02 19:05:41,387 (60.97, 2522.0)
INFO : 2021-07-02 19:05:43,490 (60.73, 2525.0)
INFO : 2021-07-02 19:05:45,596 (60.84, 2520.0)
INFO : 2021-07-02 19:05:47,670 (60.74, 2524.0)
INFO : 2021-07-02 19:05:49,736 (60.71, 2522.0)
INFO : 2021-07-02 19:05:51,800 (60.94, 2524.0)
INFO : 2021-07-02 19:05:53,864 (60.97, 2525.0)
INFO : 2021-07-02 19:05:55,929 (60.98, 2525.0)
INFO : 2021-07-02 19:05:58,020 (62.48, 2523.0)
INFO : 2021-07-02 19:06:00,119 (60.65, 2525.0)
INFO : 2021-07-02 19:06:02,198 (61.17, 2531.0)
INFO : 2021-07-02 19:06:04,265 (61.38, 2527.0)
INFO : 2021-07-02 19:06:06,329 (61.57, 2531.0)
INFO : 2021-07-02 19:06:08,393 (62.13, 2547.0)
INFO : 2021-07-02 19:06:10,458 (60.98, 2529.0)
INFO : 2021-07-02 19:06:12,534 (62.28, 2519.0)
INFO : 2021-07-02 19:06:14,658 (59.89, 2505.0)
INFO : 2021-07-02 19:06:16,733 (60.93, 2528.0)
INFO : 2021-07-02 19:06:18,815 (61.08, 2529.0)
INFO : 2021-07-02 19:06:20,880 (60.91, 2527.0)
INFO : 2021-07-02 19:06:22,944 (61.28, 2531.0)
INFO : 2021-07-02 19:06:25,008 (61.02, 2532.0)
INFO : 2021-07-02 19:06:27,073 (61.1, 2531.0)
INFO : 2021-07-02 19:06:29,189 (61.11, 2531.0)
INFO : 2021-07-02 19:06:31,272 (60.87, 2526.0)
INFO : 2021-07-02 19:06:33,344 (60.99, 2530.0)
INFO : 2021-07-02 19:06:35,418 (61.03, 2527.0)
INFO : 2021-07-02 19:06:37,483 (61.52, 2534.0)
INFO : 2021-07-02 19:06:39,548 (60.73, 2530.0)
INFO : 2021-07-02 19:06:41,612 (61.19, 2532.0)
INFO : 2021-07-02 19:06:43,690 (61.73, 2536.0)
INFO : 2021-07-02 19:06:45,792 (61.23, 2539.0)
INFO : 2021-07-02 19:06:47,865 (61.33, 2533.0)
INFO : 2021-07-02 19:06:49,936 (61.94, 2537.0)
INFO : 2021-07-02 19:06:52,007 (60.85, 2529.0)
INFO : 2021-07-02 19:06:54,070 (61.16, 2534.0)
INFO : 2021-07-02 19:06:56,138 (61.6, 2536.0)
INFO : 2021-07-02 19:06:58,201 (61.31, 2534.0)
INFO : 2021-07-02 19:07:00,318 (61.27, 2538.0)
INFO : 2021-07-02 19:07:02,394 (61.27, 2534.0)
INFO : 2021-07-02 19:07:04,466 (60.97, 2535.0)
INFO : 2021-07-02 19:07:06,533 (61.38, 2535.0)
INFO : 2021-07-02 19:07:08,596 (61.3, 2535.0)
INFO : 2021-07-02 19:07:10,659 (61.19, 2536.0)
INFO : 2021-07-02 19:07:12,722 (61.33, 2536.0)
INFO : 2021-07-02 19:07:14,806 (61.34, 2536.0)
INFO : 2021-07-02 19:07:16,917 (61.31, 2536.0)
INFO : 2021-07-02 19:07:18,992 (61.49, 2536.0)
INFO : 2021-07-02 19:07:21,054 (61.48, 2538.0)
INFO : 2021-07-02 19:07:23,117 (61.38, 2538.0)
INFO : 2021-07-02 19:07:25,177 (61.3, 2536.0)
INFO : 2021-07-02 19:07:27,240 (62.02, 2538.0)
INFO : 2021-07-02 19:07:29,307 (61.45, 2538.0)
INFO : 2021-07-02 19:07:31,407 (61.78, 2540.0)
INFO : 2021-07-02 19:07:33,511 (61.08, 2535.0)
INFO : 2021-07-02 19:07:35,582 (61.46, 2539.0)
INFO : 2021-07-02 19:07:37,645 (61.66, 2542.0)
INFO : 2021-07-02 19:07:39,700 (61.23, 2537.0)
INFO : 2021-07-02 19:07:41,762 (61.75, 2538.0)
INFO : 2021-07-02 19:07:43,825 (61.21, 2537.0)
INFO : 2021-07-02 19:07:45,911 (61.51, 2539.0)
INFO : 2021-07-02 19:07:47,989 (61.32, 2537.0)
INFO : 2021-07-02 19:07:50,060 (61.42, 2537.0)
INFO : 2021-07-02 19:07:52,124 (61.28, 2536.0)
INFO : 2021-07-02 19:07:54,187 (61.85, 2539.0)
INFO : 2021-07-02 19:07:56,249 (61.11, 2537.0)
INFO : 2021-07-02 19:07:58,312 (61.52, 2539.0)
INFO : 2021-07-02 19:08:00,402 (61.75, 2540.0)
INFO : 2021-07-02 19:08:02,490 (61.33, 2537.0)
INFO : 2021-07-02 19:08:04,568 (61.33, 2539.0)
INFO : 2021-07-02 19:08:06,635 (61.39, 2539.0)
INFO : 2021-07-02 19:08:08,699 (61.49, 2540.0)
INFO : 2021-07-02 19:08:10,762 (61.33, 2538.0)
INFO : 2021-07-02 19:08:12,825 (61.67, 2538.0)
INFO : 2021-07-02 19:08:14,896 (61.32, 2539.0)
INFO : 2021-07-02 19:08:17,009 (61.27, 2544.0)
INFO : 2021-07-02 19:08:19,109 (61.33, 2538.0)
INFO : 2021-07-02 19:08:21,184 (61.71, 2542.0)
INFO : 2021-07-02 19:08:23,251 (61.38, 2540.0)
INFO : 2021-07-02 19:08:25,314 (61.66, 2542.0)
INFO : 2021-07-02 19:08:27,377 (61.48, 2542.0)
INFO : 2021-07-02 19:08:29,440 (61.29, 2541.0)
INFO : 2021-07-02 19:08:31,528 (61.49, 2543.0)
INFO : 2021-07-02 19:08:33,611 (61.81, 2542.0)
INFO : 2021-07-02 19:08:35,687 (61.88, 2544.0)
INFO : 2021-07-02 19:08:37,761 (61.39, 2541.0)
INFO : 2021-07-02 19:08:39,823 (61.55, 2545.0)
INFO : 2021-07-02 19:08:41,887 (61.62, 2542.0)
INFO : 2021-07-02 19:08:43,949 (61.59, 2542.0)
INFO : 2021-07-02 19:08:46,018 (61.91, 2545.0)
INFO : 2021-07-02 19:08:48,112 (61.63, 2541.0)
INFO : 2021-07-02 19:08:50,184 (61.31, 2542.0)
INFO : 2021-07-02 19:08:52,253 (61.65, 2544.0)
INFO : 2021-07-02 19:08:54,322 (61.57, 2541.0)
INFO : 2021-07-02 19:08:56,385 (61.92, 2545.0)
INFO : 2021-07-02 19:08:58,453 (61.65, 2544.0)
INFO : 2021-07-02 19:09:00,516 (61.29, 2540.0)
INFO : 2021-07-02 19:09:02,622 (61.71, 2553.0)
INFO : 2021-07-02 19:09:04,711 (61.49, 2542.0)
INFO : 2021-07-02 19:09:06,783 (61.19, 2543.0)
INFO : 2021-07-02 19:09:08,847 (61.8, 2542.0)
